port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
CNNGB,29.9863,121.8401,29.98628,121.83963,2022-07-02 02:38:23 Z,29.98672,121.84017,2022-07-02 07:08:24 Z,29.98663,121.84008,2022-07-03 14:32:25 Z
CNXHK,31.58512,121.46435,31.58517,121.46438,2022-07-25 07:50:13 Z,31.5852,121.46432,2022-07-25 11:34:03 Z,31.58522,121.46435,2022-07-27 01:10:07 Z
TWKHH,22.55088,120.33018,22.55097,120.33015,2022-07-31 16:05:36 Z,22.54665,120.28942,2022-07-31 16:05:36 Z,22.55068,120.32995,2022-08-01 12:00:39 Z
SGTUA,1.25407,103.62882,1.25462,103.62897,2022-08-06 09:55:36 Z,1.25435,103.62872,2022-08-06 10:00:40 Z,1.25462,103.6288,2022-08-07 15:20:35 Z
MYPKG,2.92745,101.29033,2.9276,101.29032,2022-08-10 06:37:31 Z,2.92792,101.2904,2022-08-10 15:01:30 Z,2.92768,101.29035,2022-08-10 18:11:41 Z
INNSA,18.9622,72.94958,18.96232,72.94962,2022-08-16 04:47:40 Z,18.90572,72.86082,2022-08-16 04:47:40 Z,18.96232,72.9496,2022-08-17 04:20:25 Z
INMUN,22.74546667,69.71,22.74585,69.71008,2022-08-18 12:22:28 Z,22.63195,69.15732,2022-08-18 12:22:28 Z,22.74576667,69.70991667,2022-08-19 16:54:38 Z
LKCMB,6.94311667,79.85015,6.94335,79.8503,2022-08-23 15:20:24 Z,7.07666667,79.26275,2022-08-23 15:20:24 Z,6.94336667,79.8502,2022-08-24 11:33:59 Z
MYWSP,2.91876667,101.28525,2.91891667,101.28525,2022-08-28 00:03:52 Z,2.91678333,101.28013333,2022-08-28 00:03:52 Z,2.91901667,101.28516667,2022-08-28 13:24:17 Z
SGJUR,1.2524,103.79941667,1.25318333,103.80196667,2022-08-29 15:25:15 Z,1.23338333,103.71318333,2022-08-29 15:25:15 Z,1.25318333,103.80196667,2022-08-29 15:25:15 Z
SGKEP,1.25055,103.8025,1.25286667,103.80273333,2022-08-29 19:37:12 Z,1.23338333,103.71318333,2022-08-29 19:37:12 Z,1.25286667,103.80273333,2022-08-29 19:37:12 Z
